"Movie","Year","Ratings","Genre","Gross","Budget","Screens","Sequel","Sentiment","Views","Likes","Dislikes","Comments","Aggregate.Followers","asLabel","indicator1"
"Gone Girl",2014,8.2,3,1.68e+08,6.1e+07,3014,1,-11,396010,1390,58,342,20640000,"Good",1
"Happy Christmas",2014,5.6,8,30100,70000,9,1,0,924347,1406,107,132,5887700,"Average",1
"Heaven Is for Real",2014,5.8,3,91400000,1.2e+07,2417,1,-9,175017,461,34,133,NA,"Average",1
"Hercules",2014,6.1,1,72700000,1e+08,3595,1,-2,9324678,15479,1130,3925,9414000,"Average",1
"Horrible Bosses 2",2014,6.3,8,54400000,4.2e+07,93,2,-1,1292235,5284,124,362,1650000,"Average",1
"If I Stay",2014,6.8,3,50500000,1.1e+07,1272,1,14,9222933,41728,924,3609,1800000,"Good",1
"Inherent Vice",2014,6.7,8,8090000,2e+07,645,1,1,1167941,2651,82,797,NA,"Good",1
"Into the Storm",2014,5.8,1,47600000,5e+07,3434,1,0,4270410,8886,569,3058,301000,"Average",1
"Into the Woods",2014,6,2,1.28e+08,5e+07,2440,1,-4,817242,4391,112,346,4720000,"Average",1
"It Follows",2014,6.9,15,14700000,2e+06,4,1,-9,4877,6,1,1,NA,"Good",1
"Jack Ryan: Shadow Recruit",2014,6.2,1,50500000,6e+07,3387,5,4,3320754,4322,347,1105,147000,"Average",1
"Jersey Boys",2014,6.9,9,4.7e+07,4e+07,2905,1,10,1438350,4028,133,543,27323,"Good",1
"John Wick",2014,7.2,1,4.3e+07,2e+07,2589,1,0,4846645,14722,405,2732,NA,"Good",1
"Kill the Messenger",2014,7,9,2450000,5e+06,374,1,0,3650720,6917,234,1119,1045200,"Good",1
"Kingsman: The Secret Service",2014,7.8,1,1.28e+08,8.1e+07,3204,1,0,2767873,46023,944,6946,5407000,"Good",1
"Left Behind",2014,3.1,1,1.4e+07,1.6e+07,1825,1,0,5611593,11187,2111,7595,116800,"Poor",1
"Let's Be Cops",2014,6.5,8,82400000,1.7e+07,1534,1,-5,4450824,7315,546,909,2356000,"Good",1
"Life After Beth",2014,5.7,8,8300,2400000,NA,1,0,1222921,5553,193,335,1463000,"Average",1
"Maps to the Stars",2014,6.3,8,348000,1.5e+07,66,1,0,177465,595,39,71,644000,"Average",1
"Million Dollar Arm",2014,7.1,9,36400000,2.5e+07,3019,1,27,1470438,4314,168,511,130000,"Good",1
"Moms' Night Out",2014,5.4,8,10400000,5e+06,1044,1,0,667852,469,38,44,919000,"Average",1
"Muppets Most Wanted",2014,6.5,2,51200000,5e+07,3194,3,-1,3037329,6696,564,1061,9850000,"Good",1
"Need for Speed",2014,6.6,1,43600000,6.6e+07,3115,1,5,1451649,7342,533,2305,2594000,"Good",1
"Neighbors",2014,6.4,8,1.5e+08,1.8e+07,3279,1,2,2554307,8722,298,693,14240000,"Average",1
"Night at the Museum: Secret of the Tomb",2014,6.3,2,1.14e+08,1.27e+08,22,3,2,3779254,13535,362,1221,6480000,"Average",1
"Nightcrawler",2014,7.9,10,32300000,8500000,2766,1,-1,6082510,12522,543,2170,NA,"Good",1
"No Good Deed",2014,5.6,10,52500000,13200000,2130,1,0,608230,895,118,387,1550500,"Average",1
"Non-Stop",2014,7,1,91400000,5e+07,3090,1,0,367551,700,19,37,648786,"Good",1
"Not Cool",2014,5.2,8,35700,6e+05,NA,1,0,5403836,187162,3145,24919,2720000,"Average",1
"Ouija",2014,4.4,15,50800000,5e+06,2061,1,-4,11724815,30208,2150,4926,130000,"Poor",1
"Paddington",2014,7.2,8,76100000,5.5e+07,3303,1,14,2028767,3829,500,665,124000,"Good",1
"Paranormal Activity: The Marked Ones",2014,5,15,32500000,5e+06,2867,1,0,105480,352,45,85,11444,"Average",1
"Penguins of Madagascar",2014,6.8,12,83300000,1.32e+08,32,1,8,1223790,2934,123,226,47200,"Good",1
"Planes: Fire & Rescue",2014,5.9,12,59200000,5e+07,3826,3,0,2117798,2124,485,626,3603000,"Average",1
"Pompeii",2014,5.6,1,23200000,1e+08,2658,1,0,355563,1568,106,267,370000,"Average",1
"Ride Along",2014,6.1,1,1.34e+08,2.5e+07,2663,1,0,8429023,27484,977,2195,21586000,"Average",1
"Rio 2",2014,6.4,12,1.32e+08,1.03e+08,3948,2,4,3849768,9783,704,1151,154400,"Average",1
"RoboCop",2014,6.2,1,58600000,1e+08,3372,1,7,3305047,11733,1077,4319,250000,"Average",1
"Rosewater",2014,6.6,9,3090000,5e+06,371,1,1,909596,2214,186,632,NA,"Good",1
"Sabotage",2014,5.7,1,10500000,3.5e+07,2486,1,17,3466458,6096,411,977,3678000,"Average",1
"Selma",2014,7.5,9,52100000,2e+07,2179,1,-5,3743181,16782,565,4973,9224,"Good",1
"Serena",2014,5.4,3,176000,3e+07,59,1,0,3726728,6221,405,1074,NA,"Average",1
"Seventh Son",2014,5.5,1,17200000,9.5e+07,2875,1,0,23360,36,5,5,804300,"Average",1
"Sex Tape",2014,5.1,8,38500000,4e+07,3062,1,0,2757667,3030,418,251,4521000,"Average",1
"Sin City: A Dame to Kill For",2014,6.6,10,13800000,6.5e+07,2894,2,0,5223362,18770,627,2796,8620000,"Good",1
"Song One",2014,5.8,3,20200,6e+06,27,1,0,2426078,9230,184,373,33500,"Average",1
"St. Vincent",2014,7.3,8,44100000,1.3e+07,18,1,20,4176181,9463,310,885,269849,"Good",1
"Taken 3",2014,6.1,1,89300000,4.8e+07,21,3,6,1544390,2975,136,380,216000,"Average",1
"Teenage Mutant Ninja Turtles",2014,5.9,1,1.91e+08,1.25e+08,3845,1,0,7908038,27312,3439,8533,1260000,"Average",1
"That Awkward Moment",2014,6.1,8,2.6e+07,8e+06,2809,1,0,6132551,14539,653,846,11783000,"Average",1
"The Admiral",2014,7.1,2,2590000,9500000,1586,1,3,134353,280,43,308,NA,"Good",1
"The Amazing Spider-Man 2",2014,6.8,1,2.03e+08,2e+08,4324,2,6,386857,4996,233,864,4520000,"Good",1
"The Babadook",2014,6.9,3,924000,2e+06,147,1,-3,6501107,14139,890,2928,NA,"Good",1
"The Best of Me",2014,6.6,3,26800000,2.6e+07,8,1,3,5546710,15351,535,1271,48231,"Good",1
"The Book of Life",2014,7.3,12,50200000,5e+07,12,1,9,5165441,17476,871,3229,10364000,"Good",1
"The Boxtrolls",2014,6.8,12,50800000,6e+07,3464,1,5,2545852,3964,378,554,1280000,"Good",1
"The Devil's Hand",2014,4.8,7,4240,7e+06,NA,1,0,330363,406,52,92,NA,"Poor",1
"The Drop",2014,7.1,10,10700000,12600000,809,1,-1,2897407,5953,153,569,NA,"Good",1
"The Equalizer",2014,7.2,1,1.02e+08,5.5e+07,3236,1,0,7075635,15858,574,1966,1800000,"Good",1
"The Expendables 3",2014,6.1,1,39300000,9e+07,90,3,0,14453673,33092,1336,5005,1480000,"Average",1
"The Fault in Our Stars",2014,7.9,3,1.25e+08,1.2e+07,3173,1,7,32626778,370552,4752,38363,4240000,"Good",1
"The Fluffy Movie: Unity Through Laughter",2014,7,8,2820000,NA,432,1,0,10747,4,1,1,818000,"Good",1
"The Gambler",2014,6.1,10,33600000,2.5e+07,103,1,-2,4790221,4740,454,773,2740000,"Average",1
"The Homesman",2014,6.6,3,2430000,1.6e+07,4,1,2,26528,58,1,8,25748,"Good",1
"The Hundred-Foot Journey",2014,7.3,8,54200000,2.2e+07,2023,1,11,24809,277,12,52,20700,"Good",1
"The Hunger Games: Mockingjay - Part 1",2014,6.8,2,3.37e+08,1.25e+08,4151,3,2,3305417,14684,332,1176,31030000,"Good",1
"The Identical",2014,5,3,2820000,1.2e+07,NA,1,0,309610,729,97,113,275873,"Average",1
"The Interview",2014,6.7,1,6110000,4.4e+07,78,1,0,6231191,13331,1265,3430,6619435,"Good",1
"The Judge",2014,7.5,10,47100000,5e+07,3003,1,2,1325872,4829,104,378,5563500,"Good",1
"The Lego Movie",2014,7.8,12,2.58e+08,6e+07,3775,1,-2,439159,1847,105,289,4690000,"Good",1
"The Loft",2014,6.3,6,5980000,1.4e+07,1841,1,2,381071,238,27,43,14586,"Average",1
"The Maze Runner",2014,6.8,1,1.02e+08,3.4e+07,173,1,2,3156436,18124,213,2753,4734000,"Good",1
"The Monuments Men",2014,6.1,3,7.8e+07,7e+07,3083,1,0,10649,21,1,0,3849,"Average",1
"The November Man",2014,6.3,1,2.5e+07,1.5e+07,2776,1,0,1935432,3089,155,567,148000,"Average",1
"The One I Love",2014,7.1,8,512000,1e+05,20,1,2,1223891,1309,148,239,226000,"Good",1
"The Other Woman",2014,6,8,83900000,4e+07,3205,1,-1,8479994,35071,2233,3479,2731000,"Average",1
"The Purge: Anarchy",2014,6.5,1,71500000,9e+06,2805,2,-3,1142295,3895,193,882,49424,"Good",1
"The Pyramid",2014,4.7,15,2750000,6500000,685,1,0,4092871,8781,794,2046,420000,"Poor",1
"The Rover",2014,6.4,10,1110000,12250000,5,1,0,702,1,0,1,9842,"Average",1
"The Salvation",2014,6.8,3,5000,11712310.56,2,1,0,253631,170,11,58,NA,"Good",1
"The Theory of Everything",2014,7.8,9,35900000,1.5e+07,15,1,8,3226251,18240,261,2104,8204,"Good",1
"Think Like a Man Too",2014,5.7,8,65200000,2.4e+07,2225,2,0,2063089,5858,336,346,24388000,"Average",1
"Transcendence",2014,6.3,3,2.3e+07,1e+08,3455,1,0,14141585,36646,1459,6811,5987,"Average",1
"Transformers: Age of Extinction",2014,5.8,1,2.45e+08,2.1e+08,4233,4,0,170909,791,362,230,2814900,"Average",1
"Tusk",2014,5.4,8,1820000,2800000,449,1,0,473100,670,104,380,180100,"Average",1
"Unbroken",2014,7.2,9,1.16e+08,6.5e+07,3131,1,0,6637551,19833,815,3403,269000,"Good",1
"Veronica Mars",2014,6.8,10,3320000,6e+06,291,1,10,476747,2079,166,232,2536000,"Good",1
"When the Game Stands Tall",2014,6.6,3,30100000,1.5e+07,794,1,0,280566,477,56,82,585000,"Good",1
"Whiplash",2014,8.6,3,13100000,3300000,42,1,2,7750223,17541,631,2760,858000,"Good",1
"Wild",2014,7.2,2,37900000,1.5e+07,1061,1,0,5976092,9343,649,1333,781200,"Good",1
"Wild Tales",2014,8.2,8,3080000,3300000,4,1,7,697105,1023,39,429,NA,"Good",1
"Wish I Was Here",2014,6.7,8,3590000,6e+06,68,1,0,865690,1375,79,67,1818778,"Good",1
"X-Men: Days of Future Past",2014,8.1,1,2.34e+08,2e+08,3996,7,3,2285,9,0,1,10280000,"Good",1
"Yves Saint Laurent",2014,6.2,9,717000,1.2e+07,2,1,0,550734,894,44,77,168700,"Average",1
"Jurassic World",2015,7.3,1,6.43e+08,1.5e+08,4274,4,1,9143740,34746,1074,5107,6180000,"Good",1
"Furious 7",2015,7.4,1,3.5e+08,1.9e+08,4004,7,-17,59056,330,8,39,11890000,"Good",1
"Inside Out",2015,8.6,12,3.45e+08,1.75e+08,3946,1,2,1438926,4632,262,496,232000,"Good",1
"Minions",2015,6.6,1,3.25e+08,7.4e+07,4301,2,-2,1341909,1607,764,48,250000,"Good",1
"Pitch Perfect 2",2015,6.7,8,1.83e+08,2.9e+07,3473,2,1,9214467,39824,998,1987,7336000,"Good",1
"Mission: Impossible - Rogue Nation",2015,7.8,3,1.71e+08,1.5e+08,3956,5,3,8748596,20352,649,1842,6605000,"Good",1
"Home",2015,6.7,8,1.77e+08,1.35e+08,3708,1,-2,10341783,24413,1675,3426,5070000,"Good",1
"San Andreas",2015,6.4,1,1.54e+08,1.1e+08,3777,1,3,12632836,36508,2210,7559,9737600,"Average",1
"Straight Outta Compton",2015,8.3,9,1.35e+08,2.8e+07,2757,1,5,848970,12607,237,1560,55618,"Good",1
"Insurgent",2015,6.4,2,1.3e+08,1.1e+08,3875,2,-6,2834800,5664,5746,66,4240000,"Average",1
"Spy",2015,7.3,1,1.1e+08,6.5e+07,3711,1,0,6649290,20750,750,1666,265000,"Good",1
"Trainwreck",2015,6.7,12,1.05e+08,3.5e+07,3158,1,1,9511288,19903,2581,2955,2014000,"Good",1
"Get Hard",2015,6.1,8,90400000,4e+07,3175,1,6,10078326,26565,1418,2395,2939000,"Average",1
"Terminator Genisys",2015,6.8,1,89400000,1.55e+08,3758,5,1,84870,265,13,63,3877901,"Good",1
"Ted 2",2015,6.6,8,81300000,6.8e+07,3442,2,5,6711914,29903,984,1767,10988000,"Good",1
"Paul Blart: Mall Cop 2",2015,4.3,1,7.1e+07,3e+07,90,2,15,2389347,8809,935,892,1618000,"Poor",1
"Magic Mike XXL",2015,6.2,8,65900000,14800000,3355,2,7,5128288,18475,858,1579,8392000,"Average",1
"The Wedding Ringer",2015,6.7,8,64500000,2.3e+07,3003,1,-8,4826940,10521,478,755,2284000,"Good",1
"Vacation",2015,6.3,2,54900000,3.1e+07,3411,5,13,2554327,10062,464,871,2347000,"Average",1
"Jupiter Ascending",2015,5.5,1,47400000,1.76e+08,3181,1,0,3920842,10535,565,1668,7460000,"Average",1
"The Age of Adaline",2015,7.3,3,42500000,2.5e+07,2991,1,11,11036701,50002,1005,3525,776000,"Good",1
"The Longest Ride",2015,7.2,3,37400000,3.4e+07,3366,1,19,2393017,13291,369,584,324925,"Good",1
"The Gift",2015,7.6,1,36100000,5e+06,1648,1,11,2513544,6970,270,1105,1655987,"Good",1
"Woman in Gold",2015,7.4,10,33300000,1.1e+07,258,1,19,6495,82,3,7,675000,"Good",1
"Entourage",2015,7.1,3,32400000,3e+07,3108,1,6,1841293,5879,314,634,788000,"Good",1
"Paper Towns",2015,6.9,3,31400000,1.2e+07,3031,1,6,2854910,23254,459,1087,4184000,"Good",1
"The Lazarus Effect",2015,5.2,8,25800000,3300000,2666,1,7,4442147,10605,691,2739,2007000,"Average",1
"Sinister 2",2015,5.5,1,1.9e+07,1e+07,2766,2,-38,11037833,36874,1885,4360,5699,"Average",1
"Ricki and the Flash",2015,6.1,3,23500000,1.8e+07,1603,1,25,638374,4018,130,269,1887,"Average",1
"Project Almanac",2015,6.4,8,22300000,1.2e+07,2893,1,7,6646785,16041,955,2787,253499,"Average",1
"Hitman: Agent 47",2015,5.9,8,16100000,3.5e+07,3261,1,10,13154873,46684,3565,8578,209000,"Average",1
"Dope",2015,7.5,8,16800000,7e+05,2002,1,2,50444,238,3,28,986572,"Good",1
"American Ultra",2015,6.5,1,10900000,2.8e+07,2778,1,21,2996539,1874,32,189,155000,"Good",1
"Mortdecai",2015,5.5,8,7610000,6e+07,2648,1,-2,3850758,13363,453,1276,3045000,"Average",1
"Blackhat",2015,5.4,3,7100000,7e+07,2567,1,4,2409338,6923,340,714,1334000,"Average",1
"Me and Earl and the Dying Girl",2015,8.2,8,6740000,8e+06,34,1,15,4032265,18398,302,1298,2208,"Good",1
"The Vatican Tapes",2015,4.5,15,1710000,8495000,420,1,-2,1364537,3824,689,772,3841,"Poor",1
"Maggie",2015,5.6,3,131000,4500000,79,1,10,5085068,14359,600,2468,3744000,"Average",1
"Americons",2015,7.3,3,129000,4e+06,14,1,0,63724,115,28,14,129000,"Good",1
"Road Hard",2015,6.3,3,106000,1500000,22,1,14,44963,109,27,42,1188000,"Average",1
"Ant-Man",2015,7.8,1,1.69e+08,1.3e+08,3856,1,18,9597644,32558,2672,8359,NA,"Good",1
"Southpaw",2015,7.7,1,49500000,3e+07,2772,1,6,11476882,40496,1383,4435,NA,"Good",1
"Ex Machina",2015,7.7,3,25400000,1.5e+07,1255,1,3,419470,2218,46,239,NA,"Good",1
"The Man from U.N.C.L.E.",2015,7.6,6,34600000,7.5e+07,3638,1,8,5216680,20010,500,2300,NA,"Good",1
"Cinderella",2015,7.1,8,2.01e+08,9.5e+07,3845,1,2,10164908,22726,4245,5262,NA,"Good",1
"Chappie",2015,7,1,31600000,4.9e+07,3201,1,8,7384182,23597,786,3481,NA,"Good",1
"Run All Night",2015,6.6,8,26400000,5e+07,3171,1,3,5671767,10073,480,1712,NA,"Good",1
"The Second Best Exotic Marigold Hotel",2015,6.6,1,33100000,1e+07,1573,2,26,831044,2427,99,247,NA,"Good",1
"Child 44",2015,6.4,4,1210000,5e+07,66,1,4,3701061,9325,641,1859,NA,"Average",1
"Aloha",2015,5.5,15,2.1e+07,3.7e+07,2815,1,13,7119456,18803,1128,2290,NA,"Average",1
"Unfinished Business",2015,5.4,8,10200000,3.5e+07,2777,1,7,3450614,6823,325,409,NA,"Average",1
"War Room",2015,5.4,1,12300000,3e+06,NA,1,10,66872,400,67,201,NA,"Average",1
"The Gallows",2015,4.4,15,22600000,1e+05,2720,1,-5,659772,2841,431,606,NA,"Poor",1
